OverallQual,GrLivArea,GarageCars,TotalBsmtSF,Distance_to_Center_km,SalePrice
5,1284,1,720,1.3726961123059214,110000
7,1442,2,1424,8.707692615489496,180500
5,1696,1,1140,4.157797236367621,143900
4,1100,1,1100,2.0296288069418313,141000
7,2062,2,1157,4.416604782172292,277000
6,1092,2,1092,2.0296288069418313,145000
5,864,0,864,2.718495431716996,98000
6,1212,2,1212,2.718495431716996,186000
7,1852,2,900,2.551752247260381,252678
5,990,2,990,4.627377490647609,156000
6,1392,1,689,4.627377490647609,161750
5,1236,1,1070,2.0296288069418313,134450
7,1436,2,1436,4.627377490647609,210000
4,1328,1,686,1.3726961123059214,107000
7,1954,2,798,1.048068317716933,311500
7,1248,2,1248,3.606212249059398,167240
7,1498,2,1498,4.627377490647609,204900
6,2267,2,1010,8.707692615489496,200000
6,1552,2,713,1.6719263208786876,179900
4,864,2,864,2.0296288069418313,97000
10,2392,3,2392,3.794536871501749,386250
5,1302,1,630,2.4264718088463506,112000
7,2520,3,1203,2.9432054460961647,290000
6,987,1,483,2.4264718088463506,106000
5,912,1,912,4.157797236367621,125000
7,1555,2,1373,3.606212249059398,192500
6,1194,1,1194,2.0296288069418313,148000
8,2794,3,1462,2.9432054460961647,403000
6,987,1,483,2.4264718088463506,94500
5,894,1,894,4.627377490647609,128200
6,1960,2,860,8.707692615489496,216500
6,987,1,483,2.4264718088463506,89500
7,1414,2,1414,4.627377490647609,185500
7,1744,2,996,4.416604782172292,194500
8,1694,3,1694,3.794536871501749,318000
6,1487,1,735,2.718495431716996,113000
8,1566,2,1566,2.551752247260381,262500
5,866,0,686,1.3726961123059214,110500
5,1440,1,540,1.3726961123059214,79000
6,1217,1,626,4.416604782172292,120000
7,2110,2,948,4.416604782172292,205000
7,1872,2,1845,1.6719263208786876,241500
6,1928,1,1020,1.3726961123059214,137000
6,1375,2,1367,2.0296288069418313,140000
7,1668,2,840,4.627377490647609,180000
6,2144,2,1444,3.6102330645203202,277000
3,1306,0,728,0.5187600665899484,76500
8,1625,2,1573,1.048068317716933,235000
6,1640,2,798,4.416604782172292,173000
6,1302,1,1302,2.0296288069418313,158000
5,1314,1,1314,2.0296288069418313,145000
7,2291,2,975,8.707692615489496,230000
6,1728,2,864,2.551752247260381,207500
7,1604,2,1604,4.627377490647609,220000
7,1792,2,963,4.627377490647609,231500
5,882,1,0,1.3726961123059214,97000
6,1382,2,1362,2.0296288069418313,176000
8,2574,3,1482,4.627377490647609,276000
6,1212,2,506,4.157797236367621,151000
5,1316,2,926,1.3726961123059214,130000
5,764,2,680,1.3726961123059214,73000
6,1422,2,1422,1.6719263208786876,175500
6,1511,2,802,8.707692615489496,185000
5,2192,1,720,1.422185617508223,179500
5,778,1,740,1.1995424445240626,120500
6,1113,1,1143,2.718495431716996,148000
8,1939,3,1095,2.551752247260381,266000
7,1363,2,1385,3.6102330645203202,241500
8,2270,3,1152,2.9432054460961647,290000
6,1632,1,1240,2.0296288069418313,139000
5,816,1,816,5.200121457077006,124500
7,1548,2,952,0.5187600665899484,205000
7,1560,2,1560,5.200121457077006,201000
4,864,2,864,8.707692615489496,141000
9,2121,3,2121,3.794536871501749,415298
7,2022,2,1160,3.6102330645203202,192000
7,1982,2,807,4.416604782172292,228500
6,1262,2,1262,2.551752247260381,185000
7,1314,2,1314,3.794536871501749,207500
8,1468,3,1468,2.551752247260381,244600
6,1575,2,1575,4.416604782172292,179200
7,1250,2,625,2.551752247260381,164700
6,1734,2,912,2.0296288069418313,159000
4,858,0,858,2.0296288069418313,88000
5,900,1,882,4.157797236367621,122000
6,1396,1,698,0.5187600665899484,153575
8,1919,2,1079,4.627377490647609,233230
5,1716,0,780,1.422185617508223,135900
5,1716,1,768,2.718495431716996,131000
7,2263,2,795,1.6719263208786876,235000
6,1644,2,1416,2.0296288069418313,167000
6,1003,2,1003,5.200121457077006,142500
5,1558,1,910,1.1995424445240626,152000
7,1950,2,975,2.551752247260381,239000
6,1743,2,702,1.6719263208786876,175000
6,1152,1,1092,1.048068317716933,158500
5,1336,1,1165,1.048068317716933,157000
8,2452,2,1028,4.627377490647609,267000
7,1541,3,1541,4.627377490647609,205000
5,894,2,894,4.627377490647609,149900
7,3493,3,1470,1.3726961123059214,295000
8,2000,3,2000,4.627377490647609,305900
7,2243,3,700,4.416604782172292,225000
6,1406,0,319,1.1995424445240626,89500
4,861,2,861,2.718495431716996,82500
9,1944,3,1896,3.794536871501749,360000
6,1501,2,697,8.707692615489496,165600
6,972,1,972,2.0296288069418313,132000
5,1118,2,793,1.3726961123059214,119900
7,2036,2,2136,3.9643611989329,375000
7,1641,2,728,1.3726961123059214,178000
7,1432,2,716,8.707692615489496,188500
7,2353,2,845,1.6719263208786876,260000
8,1959,3,1088,2.551752247260381,270000
7,2646,3,1347,2.9432054460961647,260000
7,1472,2,1372,1.6719263208786876,187500
9,2596,3,1249,3.794536871501749,342643
8,2468,3,1136,3.794536871501749,354000
7,2730,2,1502,4.416604782172292,301000
3,1163,1,1162,1.3726961123059214,126175
7,2978,2,710,2.0296288069418313,242000
5,803,2,720,1.1995424445240626,87000
8,1719,2,1719,2.316578362492269,324000
6,1383,1,1383,2.0296288069418313,145250
6,2134,2,844,0.5187600665899484,214500
5,1192,1,596,1.1995424445240626,78000
5,1728,1,1728,2.0296288069418313,119000
5,1056,1,1056,2.0296288069418313,139000
8,1629,3,3206,3.794536871501749,284000
7,1358,2,1358,3.794536871501749,207000
6,1638,2,943,8.707692615489496,192000
5,1786,2,1499,3.9643611989329,228950
9,1922,3,1922,3.2826187011010863,377426
7,1536,2,1536,4.627377490647609,214000
7,1621,2,1208,1.6719263208786876,202500
6,1215,1,1215,2.0296288069418313,155000
8,1908,2,967,3.9643611989329,202900
4,841,1,721,4.416604782172292,82000
3,1040,2,0,2.0296288069418313,87500
9,1684,2,1684,3.794536871501749,266000
5,1112,1,536,4.970532004949323,85000
6,1577,1,972,0.5187600665899484,140200
6,958,1,958,2.0296288069418313,151500
6,1478,2,1478,2.0296288069418313,157500
7,1626,2,764,3.794536871501749,154000
9,2728,3,1848,3.794536871501749,437154
9,1869,2,1869,3.794536871501749,318061
7,1453,2,1453,3.6102330645203202,190000
5,1111,1,616,2.718495431716996,95000
6,720,2,624,1.3726961123059214,105900
6,1595,1,940,1.422185617508223,140000
6,1200,2,1200,4.627377490647609,177500
6,1167,2,1158,8.707692615489496,173000
5,1142,2,1142,4.970532004949323,134000
5,1352,1,1062,3.6102330645203202,130000
8,1924,2,1086,2.9432054460961647,280000
6,912,2,888,5.200121457077006,156000
5,1505,1,883,0.5187600665899484,145000
7,1922,2,0,2.718495431716996,198500
6,987,1,483,2.4264718088463506,118000
6,1574,2,796,1.6719263208786876,190000
5,1344,1,672,1.1995424445240626,147000
6,1394,2,1394,2.0296288069418313,159000
6,1431,1,1099,2.0296288069418313,165000
5,1268,1,1268,2.0296288069418313,132000
5,1287,2,1063,2.0296288069418313,162000
6,1664,2,953,8.707692615489496,172400
4,1588,2,0,3.6102330645203202,134432
6,752,1,744,4.416604782172292,125000
5,1319,1,608,2.0296288069418313,123000
7,1928,2,847,4.627377490647609,219500
1,904,0,683,2.718495431716996,61000
5,914,2,870,4.627377490647609,148000
8,2466,2,1580,2.551752247260381,340000
9,1856,3,1856,3.2826187011010863,394432
6,1800,2,982,8.707692615489496,179000
5,1691,1,1026,1.422185617508223,127000
7,1301,2,1293,2.551752247260381,187750
7,1797,2,939,4.627377490647609,213500
6,784,2,784,4.416604782172292,76000
6,1953,2,1580,3.6102330645203202,240000
8,1269,2,1256,3.606212249059398,192000
5,1184,0,658,2.718495431716996,81000
6,1125,1,1041,2.718495431716996,125000
7,1479,2,1468,4.627377490647609,191000
10,2332,3,1682,3.794536871501749,426000
5,1367,1,861,2.718495431716996,119000
6,1961,2,804,5.200121457077006,215000
5,882,1,0,2.0296288069418313,106500
4,788,0,788,0.5187600665899484,100000
5,1034,1,735,1.3726961123059214,109000
5,1144,1,1144,2.718495431716996,129000
5,894,2,894,4.627377490647609,123000
5,1812,1,864,2.0296288069418313,169500
5,1077,1,961,1.1995424445240626,67000
7,1550,2,1092,2.551752247260381,241000
8,1288,2,1260,2.316578362492269,245500
7,1310,2,1310,4.627377490647609,164990
5,672,1,672,4.157797236367621,108000
8,2263,2,1141,2.9432054460961647,258000
6,1572,2,806,8.707692615489496,168000
4,1620,2,1281,4.157797236367621,150000
6,1639,1,1064,1.422185617508223,115000
6,1680,1,840,1.048068317716933,177000
7,2172,3,1063,3.794536871501749,280000
8,2078,3,1034,2.551752247260381,339750
5,1276,1,1276,2.718495431716996,60000
5,1056,2,1056,8.707692615489496,145000
7,1478,2,1470,2.551752247260381,222000
5,1028,2,1008,1.3726961123059214,115000
7,2097,3,1080,4.416604782172292,228000
7,1340,2,1340,8.707692615489496,181134
6,1400,2,672,4.157797236367621,149500
6,2624,3,1370,1.048068317716933,239000
5,1134,1,756,2.718495431716996,126000
5,1056,1,1056,2.0296288069418313,142000
7,1344,4,1344,5.200121457077006,206300
6,1602,2,1602,1.6719263208786876,215000
5,988,2,988,5.200121457077006,113000
8,2630,3,1470,2.9432054460961647,315000
6,1196,1,1196,2.0296288069418313,139000
7,1389,1,651,1.3726961123059214,135000
7,1644,2,1518,4.416604782172292,275000
4,907,1,907,2.0296288069418313,109008
7,1208,2,1208,4.627377490647609,195400
6,1412,2,1392,3.9643611989329,175000
6,987,1,483,2.4264718088463506,85400
6,1198,0,901,1.3726961123059214,79900
5,1365,2,765,2.4264718088463506,122500
6,1604,2,926,8.707692615489496,181000
4,630,0,630,4.970532004949323,81000
7,1661,2,799,4.627377490647609,212000
6,1118,2,648,1.3726961123059214,116000
6,904,1,884,0.5187600665899484,119000
5,694,1,440,1.048068317716933,90350
6,1196,2,684,2.718495431716996,110000
10,2402,3,3094,3.794536871501749,555000
4,1440,0,1440,2.718495431716996,118000
5,1573,2,1078,0.5187600665899484,162900
7,1258,3,1258,3.606212249059398,172500
7,1908,2,915,4.627377490647609,210000
6,1689,2,1436,2.718495431716996,127500
6,1888,2,1517,2.0296288069418313,190000
7,1886,2,930,8.707692615489496,199900
6,1376,1,780,1.1995424445240626,119500
3,1183,1,649,1.3726961123059214,120000
6,813,1,813,1.3726961123059214,110000
7,1533,2,1533,3.6102330645203202,280000
6,1756,2,872,3.9643611989329,204000
8,1590,2,768,2.551752247260381,210000
5,1728,2,1728,5.200121457077006,188000
7,1242,2,1242,1.6719263208786876,175500
5,1344,3,624,1.3726961123059214,98000
4,1663,2,1364,3.6102330645203202,256000
8,1666,1,588,1.3726961123059214,161000
5,1203,1,709,0.5187600665899484,110000
8,1935,2,832,2.551752247260381,263435
7,1135,2,560,1.422185617508223,155000
5,864,1,864,4.157797236367621,62383
6,1660,1,715,1.048068317716933,188700
5,1040,0,1040,4.627377490647609,124000
7,1414,2,1375,3.606212249059398,178740
7,1277,2,1277,2.0296288069418313,167000
5,1644,1,728,2.0296288069418313,146500
8,1634,3,1626,3.794536871501749,250000
6,1710,2,832,4.416604782172292,187000
8,1502,2,1488,3.2826187011010863,212000
7,1969,2,808,1.6719263208786876,190000
6,1072,2,547,2.718495431716996,148000
8,1976,3,1976,3.794536871501749,440000
8,1652,2,1494,3.2826187011010863,251000
5,970,2,970,4.157797236367621,132500
6,1493,2,1478,4.627377490647609,208900
9,2643,3,2153,3.794536871501749,380000
8,1718,3,1705,4.627377490647609,297000
4,1131,2,907,1.3726961123059214,89471
9,1850,3,1833,3.794536871501749,326000
9,1792,3,1792,3.794536871501749,374000
7,1826,1,910,1.3726961123059214,155000
6,1216,2,1216,5.200121457077006,164000
5,999,1,999,4.157797236367621,132500
5,1113,1,1113,2.0296288069418313,147000
5,1073,2,1073,2.0296288069418313,156000
5,1484,2,1484,1.6719263208786876,175000
5,2414,2,954,1.3726961123059214,160000
4,630,1,630,4.970532004949323,86000
5,1304,1,264,4.970532004949323,115000
6,1578,1,806,2.0296288069418313,133000
6,1456,2,728,8.707692615489496,172785
5,1269,1,1269,2.0296288069418313,155000
5,886,1,190,1.3726961123059214,91300
4,720,0,720,1.1995424445240626,34900
8,3228,2,3200,2.9432054460961647,430000
7,1820,1,1026,0.5187600665899484,184000
5,899,1,864,4.157797236367621,130000
5,912,1,912,2.0296288069418313,120000
6,1218,1,672,2.4264718088463506,113000
7,1768,2,866,2.551752247260381,226700
5,1214,2,1214,2.718495431716996,140000
7,1801,2,1501,1.048068317716933,289000
6,1322,2,855,2.2311694353001195,147000
5,1960,2,960,1.3726961123059214,124500
8,1911,2,777,4.416604782172292,215000
6,1218,2,1218,2.551752247260381,208300
7,1378,2,689,1.3726961123059214,161000
5,1041,1,1041,2.0296288069418313,124500
5,1363,1,1008,2.0296288069418313,164900
7,1368,2,1368,3.794536871501749,202665
5,864,2,864,2.0296288069418313,129900
6,1080,2,1084,5.200121457077006,134000
5,789,1,768,1.048068317716933,96500
10,2020,3,2006,3.794536871501749,402861
6,2119,2,689,1.6719263208786876,158000
7,2344,3,1264,2.9432054460961647,265000
6,1796,2,794,4.627377490647609,211000
7,2080,1,1276,1.048068317716933,234000
4,1294,0,0,1.3726961123059214,106250
6,1244,1,1244,2.0296288069418313,150000
6,1664,2,1004,0.5187600665899484,159000
10,4676,3,3138,2.718495431716996,184750
7,2398,3,1379,2.9432054460961647,315750
7,1266,2,1257,2.551752247260381,176000
5,928,1,928,2.0296288069418313,132000
9,2713,3,1452,3.794536871501749,446261
4,605,0,528,2.718495431716996,86000
6,2515,2,2035,1.048068317716933,200624
6,1509,2,1461,3.9643611989329,175000
6,1362,2,611,0.5187600665899484,128000
5,827,1,0,2.0296288069418313,107500
1,334,0,0,0.5187600665899484,39300
8,1414,2,707,8.707692615489496,178000
5,1347,0,1117,2.718495431716996,107500
7,1724,2,880,4.627377490647609,188000
4,864,2,864,2.0296288069418313,111250
5,1159,1,1051,4.157797236367621,158000
8,1601,2,1581,4.627377490647609,272000
9,1838,3,1838,3.9643611989329,315000
8,2285,3,969,2.9432054460961647,248000
7,1680,2,1650,1.6719263208786876,213250
7,767,1,723,2.0296288069418313,133000
7,1496,2,654,8.707692615489496,179665
7,2183,3,1204,1.6719263208786876,229000
6,1635,2,1065,0.5187600665899484,210000
5,768,2,768,5.200121457077006,129500
5,825,2,825,1.3726961123059214,125000
7,2094,2,912,2.551752247260381,263000
6,1069,2,1069,2.2311694353001195,140000
5,928,1,928,1.3726961123059214,112500
8,1717,3,1709,3.794536871501749,255500
4,1126,2,0,2.718495431716996,108000
7,2046,3,998,3.794536871501749,284000
5,1048,1,993,0.5187600665899484,113000
5,1092,1,1092,2.0296288069418313,141000
4,1336,1,637,1.1995424445240626,108000
7,1446,2,729,8.707692615489496,175000
7,1557,2,1374,3.606212249059398,234000
5,1392,2,1392,4.157797236367621,121500
5,1389,2,1389,5.200121457077006,170000
5,996,0,996,2.718495431716996,108000
6,1674,2,1163,2.718495431716996,185000
7,2295,2,1095,2.9432054460961647,268000
6,1647,1,806,1.422185617508223,128000
9,2504,3,1122,3.2826187011010863,325000
7,1535,2,1517,3.794536871501749,214000
8,2132,2,1496,4.416604782172292,316600
5,943,2,943,2.0296288069418313,135960
5,1728,2,1728,2.0296288069418313,142600
6,864,1,864,2.0296288069418313,120000
7,1692,2,846,3.9643611989329,224500
7,1430,2,384,8.707692615489496,170000
5,1109,1,372,2.0296288069418313,139000
5,1216,1,832,2.0296288069418313,118500
7,1477,1,861,1.422185617508223,145000
5,1320,2,1164,4.157797236367621,164500
7,1392,2,689,2.551752247260381,146000
5,1795,1,1050,1.3726961123059214,131500
6,1429,2,1144,2.0296288069418313,181900
8,2042,3,2042,3.794536871501749,253293
6,816,0,816,2.718495431716996,118500
10,2775,2,1237,1.3726961123059214,325000
4,1573,1,884,0.5187600665899484,133000
8,2028,3,1868,3.9643611989329,369900
6,838,1,816,0.5187600665899484,130000
5,860,2,840,4.157797236367621,137000
5,1473,1,1437,3.6102330645203202,143000
5,935,1,742,0.5187600665899484,79500
7,1582,2,770,4.627377490647609,185900
10,2296,3,1722,3.794536871501749,451950
5,816,2,816,5.200121457077006,138000
6,848,2,848,4.627377490647609,140000
5,924,1,924,4.627377490647609,110000
8,1826,3,1814,3.2826187011010863,319000
6,1368,1,684,1.3726961123059214,114504
7,1402,3,1258,3.606212249059398,194201
5,1647,2,1430,1.048068317716933,217500
6,1556,2,716,2.553499654823553,151000
8,1904,2,1058,3.794536871501749,275000
6,1375,1,780,1.1995424445240626,141000
8,1915,2,908,4.416604782172292,220000
7,1200,2,600,2.551752247260381,151000
7,1494,2,1494,4.627377490647609,221000
7,1986,2,768,2.0296288069418313,205000
5,1040,2,1040,4.627377490647609,152000
5,2008,1,896,2.718495431716996,225000
8,3194,2,965,1.048068317716933,359100
4,1029,1,1029,4.157797236367621,118500
9,2153,3,1440,4.627377490647609,313000
6,1032,2,1032,1.6719263208786876,148000
8,1872,2,1299,4.627377490647609,261500
5,1120,0,1120,5.200121457077006,147000
4,630,0,630,4.970532004949323,75500
6,1054,2,936,2.0296288069418313,137500
6,1509,2,783,8.707692615489496,183200
6,832,2,832,2.0296288069418313,105500
9,1828,3,1822,3.794536871501749,314813
8,2262,3,1482,3.9643611989329,305000
3,864,0,864,2.718495431716996,67000
6,2614,2,1522,1.6719263208786876,240000
5,980,2,980,4.157797236367621,135000
6,1512,2,756,2.551752247260381,168500
6,1790,2,732,1.6719263208786876,165150
6,1116,2,1116,2.0296288069418313,160000
5,1422,1,978,2.0296288069418313,139900
6,1520,1,1156,2.0296288069418313,153000
5,2080,2,1040,2.0296288069418313,135000
6,1350,2,1248,2.0296288069418313,168500
5,1750,1,636,1.3726961123059214,124000
8,1554,2,1554,3.794536871501749,209500
7,1411,2,1386,1.6719263208786876,82500
5,1056,1,1056,2.0296288069418313,139400
6,1056,2,1056,1.3726961123059214,144000
6,3395,0,1440,1.422185617508223,200000
2,800,0,264,0.5187600665899484,60000
5,1387,1,811,1.3726961123059214,93000
5,796,0,796,2.718495431716996,85000
8,1567,3,1520,3.606212249059398,264561
8,1518,2,1518,3.794536871501749,274000
7,1929,2,1057,2.551752247260381,226000
8,2704,2,1952,2.0296288069418313,345000
5,1620,2,780,1.6719263208786876,152000
9,1766,3,1766,2.551752247260381,370878
6,981,2,981,2.0296288069418313,143250
5,1048,2,0,2.0296288069418313,98300
6,1094,2,1094,2.718495431716996,155000
6,1839,2,756,2.0296288069418313,155000
4,630,0,630,4.970532004949323,84500
7,1665,2,813,2.551752247260381,205950
4,1510,1,755,2.718495431716996,108000
7,1716,2,880,4.627377490647609,191000
6,1469,1,756,1.1995424445240626,135000
8,2113,3,2109,2.9432054460961647,350000
6,1092,1,525,2.4264718088463506,88000
5,1053,1,1053,2.0296288069418313,145500
7,1502,1,776,1.048068317716933,149000
6,1458,1,912,2.0296288069418313,97500
5,1486,2,1486,2.718495431716996,167000
7,1935,2,793,1.6719263208786876,197900
8,2448,3,1629,2.9432054460961647,402000
6,1392,2,1392,2.0296288069418313,110000
4,1181,2,1138,2.718495431716996,137500
8,2097,3,2077,2.551752247260381,423000
8,1936,2,1406,8.707692615489496,230500
6,2380,2,1021,2.0296288069418313,129000
6,1679,2,1408,4.416604782172292,193500
